vehicle_id,model,city,state,latitude,longitude,fleet_zone,status,software_version,sensor_config,total_mileage_km,total_rides,avg_passenger_rating,safety_score,open_support_tickets,last_incident_type,days_since_last_incident,last_service_date,next_service_date,in_service_since
WM-042,Jaguar I-PACE Gen3,Phoenix,AZ,33.4264,-112.0644,PHOENIX-3,GROUNDED,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,52092,417,4.37,97.2,3,COMFORT_COMPLAINT,23,2026-04-12,2026-07-16,2025-03-09
WM-043,Jaguar I-PACE Gen4,Seattle,WA,47.5655,-122.3599,SEATTLE-4,ACTIVE,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,39635,3249,4.27,93.2,0,PERCEPTION_MISS,88,2026-04-14,2026-09-09,2024-01-08
WM-044,Jaguar I-PACE Gen4,Phoenix,AZ,33.4215,-112.0519,PHOENIX-4,ACTIVE,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,70031,2567,4.41,91.1,2,SOFTWARE_BUG,70,2026-05-02,2026-08-03,2025-01-27
WM-045,Jaguar I-PACE Gen4,San Francisco,CA,37.7545,-122.4333,SAN-3,INSPECTION,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,33105,1186,4.65,99.3,1,ROUTE_DEVIATION,75,2026-03-08,2026-08-25,2025-02-10
WM-046,Jaguar I-PACE Gen4,San Francisco,CA,37.7533,-122.4215,SAN-1,INSPECTION,weimo-av-4.3.1,LiDAR-5 + Camera-29 + Radar-6,13965,523,4.44,98.0,4,LIDAR_DESYNC,81,2026-02-22,2026-08-20,2025-01-02
WM-047,Jaguar I-PACE Gen3,Phoenix,AZ,33.4102,-112.0476,PHOENIX-3,ACTIVE,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,16564,1941,4.37,89.0,1,AEB_FALSE_TRIGGER,19,2026-05-25,2026-08-30,2024-04-05
WM-048,Jaguar I-PACE Gen4,Seattle,WA,47.5661,-122.3058,SEATTLE-1,GROUNDED,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,67049,4021,4.31,95.0,6,SOFTWARE_BUG,39,2026-04-02,2026-09-06,2024-03-16
WM-049,Jaguar I-PACE Gen4,Phoenix,AZ,33.4272,-112.0957,PHOENIX-4,ACTIVE,weimo-av-4.3.0,LiDAR-5 + Camera-29 + Radar-6,39439,1011,4.43,91.3,1,LIDAR_DESYNC,0,2026-04-22,2026-08-15,2024-09-08
WM-050,Jaguar I-PACE Gen2,San Francisco,CA,37.7844,-122.387,SAN-1,INSPECTION,weimo-av-4.3.0,LiDAR-6 + Camera-32 + Radar-8,63723,770,4.43,88.7,2,LIDAR_DESYNC,34,2026-02-28,2026-07-07,2025-02-24
WM-051,Jaguar I-PACE Gen3,Austin,TX,30.2776,-97.7905,AUSTIN-1,ACTIVE,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,60757,4161,4.11,98.2,2,NONE,,2026-04-18,2026-06-29,2025-04-26
WM-052,Jaguar I-PACE Gen2,Seattle,WA,47.6559,-122.3385,SEATTLE-4,MAINTENANCE,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,83529,464,4.68,98.5,1,LIDAR_DESYNC,60,2026-04-08,2026-09-10,2024-07-31
WM-053,Jaguar I-PACE Gen3,San Francisco,CA,37.8063,-122.4144,SAN-3,ACTIVE,weimo-av-4.3.1,LiDAR-6 + Camera-32 + Radar-8,50081,3044,3.92,95.6,3,LIDAR_DESYNC,42,2026-04-22,2026-08-21,2024-09-07
WM-054,Jaguar I-PACE Gen3,San Francisco,CA,37.7767,-122.4071,SAN-4,ACTIVE,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,60976,3842,4.39,92.8,1,AEB_FALSE_TRIGGER,84,2026-02-22,2026-08-27,2024-07-24
WM-055,Jaguar I-PACE Gen2,Austin,TX,30.2781,-97.7692,AUSTIN-1,GROUNDED,weimo-av-4.3.1,LiDAR-5 + Camera-29 + Radar-6,79987,836,4.87,88.3,6,NONE,,2026-02-21,2026-08-20,2025-07-07
WM-056,Jaguar I-PACE Gen2,Los Angeles,CA,34.0531,-118.2664,LOS-2,MAINTENANCE,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,20217,1220,4.94,93.7,2,GNSS_DROPOUT,59,2026-05-29,2026-09-09,2024-08-09
WM-057,Jaguar I-PACE Gen3,Austin,TX,30.2439,-97.7928,AUSTIN-3,ACTIVE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,58277,1080,4.86,98.7,4,LIDAR_DESYNC,8,2026-05-09,2026-08-11,2025-02-14
WM-058,Jaguar I-PACE Gen4,Seattle,WA,47.6432,-122.284,SEATTLE-4,MAINTENANCE,weimo-av-4.3.0,LiDAR-6 + Camera-32 + Radar-8,66529,2506,4.36,93.2,2,COMFORT_COMPLAINT,70,2026-03-08,2026-08-27,2025-04-16
WM-059,Jaguar I-PACE Gen2,Seattle,WA,47.5688,-122.2856,SEATTLE-2,ACTIVE,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,49704,3350,4.34,93.7,0,SOFTWARE_BUG,49,2026-03-21,2026-09-10,2025-01-11
WM-060,Jaguar I-PACE Gen3,San Francisco,CA,37.7899,-122.3842,SAN-3,GROUNDED,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,10011,3259,3.97,95.2,4,LIDAR_DESYNC,9,2026-04-14,2026-07-22,2024-01-26
WM-061,Jaguar I-PACE Gen3,Seattle,WA,47.654,-122.3061,SEATTLE-2,ACTIVE,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,78912,447,4.51,96.6,3,PERCEPTION_MISS,80,2026-03-18,2026-07-25,2023-12-27
WM-062,Jaguar I-PACE Gen2,San Francisco,CA,37.7661,-122.4012,SAN-4,ACTIVE,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,11794,488,4.17,89.7,4,AEB_FALSE_TRIGGER,37,2026-04-29,2026-08-05,2025-06-15
WM-063,Jaguar I-PACE Gen2,Phoenix,AZ,33.4883,-112.0775,PHOENIX-3,ACTIVE,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,89226,3098,4.08,93.3,0,LIDAR_DESYNC,29,2026-04-15,2026-09-08,2025-02-25
WM-064,Jaguar I-PACE Gen2,Seattle,WA,47.6415,-122.3714,SEATTLE-3,ACTIVE,weimo-av-4.3.1,LiDAR-6 + Camera-32 + Radar-8,85014,1525,4.53,90.3,3,SOFTWARE_BUG,88,2026-05-12,2026-08-16,2024-11-21
WM-065,Jaguar I-PACE Gen4,Seattle,WA,47.6338,-122.3591,SEATTLE-4,ACTIVE,weimo-av-4.3.1,LiDAR-6 + Camera-32 + Radar-8,10875,3699,4.56,97.6,2,ROUTE_DEVIATION,1,2026-04-02,2026-06-25,2024-12-21
WM-066,Jaguar I-PACE Gen2,Phoenix,AZ,33.4564,-112.0508,PHOENIX-3,INSPECTION,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,94400,3088,4.76,97.1,0,GNSS_DROPOUT,80,2026-03-23,2026-06-24,2025-09-15
WM-067,Jaguar I-PACE Gen4,Los Angeles,CA,34.0989,-118.2642,LOS-2,ACTIVE,weimo-av-4.3.0,LiDAR-6 + Camera-32 + Radar-8,34318,841,4.7,91.0,3,COMFORT_COMPLAINT,67,2026-04-10,2026-07-23,2025-01-04
WM-068,Jaguar I-PACE Gen2,San Francisco,CA,37.7704,-122.4021,SAN-1,ACTIVE,weimo-av-4.3.0,LiDAR-5 + Camera-29 + Radar-6,60089,3764,4.73,91.0,0,COMFORT_COMPLAINT,11,2026-03-04,2026-08-08,2024-01-28
WM-069,Jaguar I-PACE Gen3,Los Angeles,CA,34.067,-118.2302,LOS-3,MAINTENANCE,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,22201,3064,4.07,98.5,1,AEB_FALSE_TRIGGER,79,2026-02-20,2026-08-29,2024-08-28
WM-070,Jaguar I-PACE Gen3,Los Angeles,CA,34.0411,-118.2566,LOS-2,INSPECTION,weimo-av-4.3.0,LiDAR-5 + Camera-29 + Radar-6,13943,4175,3.84,98.2,1,NONE,,2026-05-30,2026-07-01,2024-01-03
WM-071,Jaguar I-PACE Gen4,Seattle,WA,47.5779,-122.3376,SEATTLE-3,ACTIVE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,62379,2982,3.91,88.4,2,NONE,,2026-03-27,2026-08-10,2025-04-19
WM-072,Jaguar I-PACE Gen4,Los Angeles,CA,34.0993,-118.2886,LOS-2,ACTIVE,weimo-av-4.3.1,LiDAR-6 + Camera-32 + Radar-8,15936,1930,4.12,95.4,4,GNSS_DROPOUT,58,2026-06-02,2026-09-11,2025-01-09
WM-073,Jaguar I-PACE Gen4,Phoenix,AZ,33.4972,-112.07,PHOENIX-1,ACTIVE,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,80641,1148,4.47,91.2,1,PERCEPTION_MISS,42,2026-03-06,2026-07-07,2025-06-21
WM-074,Jaguar I-PACE Gen2,San Francisco,CA,37.7775,-122.3948,SAN-1,INSPECTION,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,54955,3535,4.71,89.5,3,COMFORT_COMPLAINT,2,2026-05-22,2026-07-22,2024-08-16
WM-075,Jaguar I-PACE Gen3,Austin,TX,30.2233,-97.7452,AUSTIN-4,GROUNDED,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,67245,2363,4.05,95.4,1,AEB_FALSE_TRIGGER,84,2026-04-08,2026-07-27,2024-10-31
WM-076,Jaguar I-PACE Gen2,Austin,TX,30.2703,-97.7477,AUSTIN-3,INSPECTION,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,17632,3983,3.89,92.4,4,LIDAR_DESYNC,8,2026-05-28,2026-07-24,2024-04-06
WM-077,Jaguar I-PACE Gen4,Austin,TX,30.2485,-97.7618,AUSTIN-4,ACTIVE,weimo-av-4.3.0,LiDAR-5 + Camera-29 + Radar-6,64370,2149,4.82,92.8,0,SOFTWARE_BUG,43,2026-02-28,2026-08-16,2025-03-30
WM-078,Jaguar I-PACE Gen4,Los Angeles,CA,34.0979,-118.2375,LOS-2,ACTIVE,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,19957,3706,3.9,94.4,4,SOFTWARE_BUG,12,2026-03-10,2026-08-05,2024-01-30
WM-079,Jaguar I-PACE Gen3,San Francisco,CA,37.7473,-122.4586,SAN-2,ACTIVE,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,14743,1478,4.49,89.8,3,COMFORT_COMPLAINT,13,2026-04-01,2026-08-22,2024-05-26
WM-080,Jaguar I-PACE Gen3,Los Angeles,CA,34.0725,-118.2628,LOS-3,ACTIVE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,64244,3761,4.45,88.3,2,AEB_FALSE_TRIGGER,77,2026-02-15,2026-09-11,2025-01-03
WM-081,Jaguar I-PACE Gen2,Los Angeles,CA,34.0363,-118.2567,LOS-2,ACTIVE,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,17120,881,4.65,92.3,3,AEB_FALSE_TRIGGER,11,2026-03-10,2026-08-25,2025-01-18
WM-082,Jaguar I-PACE Gen2,Seattle,WA,47.5976,-122.3605,SEATTLE-4,MAINTENANCE,weimo-av-4.3.0,LiDAR-5 + Camera-29 + Radar-6,28632,3390,4.51,93.6,3,GNSS_DROPOUT,34,2026-04-18,2026-09-11,2024-07-10
WM-083,Jaguar I-PACE Gen3,San Francisco,CA,37.8194,-122.3927,SAN-1,ACTIVE,weimo-av-4.3.1,LiDAR-5 + Camera-29 + Radar-6,85743,2293,4.41,88.1,2,ROUTE_DEVIATION,5,2026-05-16,2026-08-08,2025-03-30
WM-084,Jaguar I-PACE Gen2,Los Angeles,CA,34.0458,-118.2477,LOS-3,ACTIVE,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,64446,1019,3.95,88.8,0,PERCEPTION_MISS,64,2026-04-03,2026-09-12,2025-09-28
WM-085,Jaguar I-PACE Gen3,Los Angeles,CA,34.011,-118.2093,LOS-4,MAINTENANCE,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,91904,2010,4.13,97.6,2,SOFTWARE_BUG,2,2026-05-03,2026-07-10,2025-04-11
WM-086,Jaguar I-PACE Gen3,Austin,TX,30.2703,-97.7737,AUSTIN-1,MAINTENANCE,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,59873,3865,4.16,93.9,0,COMFORT_COMPLAINT,28,2026-05-02,2026-07-10,2024-12-24
WM-087,Jaguar I-PACE Gen4,Los Angeles,CA,34.0486,-118.2373,LOS-1,INSPECTION,weimo-av-4.3.0,LiDAR-5 + Camera-29 + Radar-6,21474,899,4.09,90.0,3,LIDAR_DESYNC,77,2026-05-25,2026-09-10,2024-05-02
WM-088,Jaguar I-PACE Gen4,Austin,TX,30.2228,-97.7424,AUSTIN-3,INSPECTION,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,90210,1594,3.97,97.2,4,GNSS_DROPOUT,60,2026-04-18,2026-09-07,2025-02-02
WM-089,Jaguar I-PACE Gen2,Austin,TX,30.3126,-97.7192,AUSTIN-4,ACTIVE,weimo-av-4.3.1,LiDAR-5 + Camera-29 + Radar-6,45627,614,4.54,93.3,4,GNSS_DROPOUT,78,2026-03-29,2026-08-22,2025-11-04
WM-090,Jaguar I-PACE Gen4,Austin,TX,30.2677,-97.7758,AUSTIN-3,GROUNDED,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,50143,2778,4.35,99.3,1,LIDAR_DESYNC,7,2026-04-17,2026-07-02,2025-04-07
WM-091,Jaguar I-PACE Gen4,Austin,TX,30.2238,-97.7836,AUSTIN-1,ACTIVE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,55696,1827,4.86,97.1,2,SOFTWARE_BUG,52,2026-03-06,2026-08-01,2024-01-22
WM-092,Jaguar I-PACE Gen3,Austin,TX,30.2482,-97.7554,AUSTIN-4,ACTIVE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,51694,633,4.47,89.5,0,LIDAR_DESYNC,44,2026-05-05,2026-09-10,2025-01-14
WM-093,Jaguar I-PACE Gen4,Phoenix,AZ,33.4932,-112.0754,PHOENIX-2,INSPECTION,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,92675,3046,4.29,98.9,2,COMFORT_COMPLAINT,2,2026-04-28,2026-07-28,2025-04-29
WM-094,Jaguar I-PACE Gen2,Phoenix,AZ,33.4146,-112.0409,PHOENIX-2,ACTIVE,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,74543,3457,4.42,94.9,1,AEB_FALSE_TRIGGER,84,2026-05-01,2026-09-06,2024-03-17
WM-095,Jaguar I-PACE Gen3,Phoenix,AZ,33.4293,-112.0431,PHOENIX-4,INSPECTION,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,55749,3070,4.63,90.7,1,NONE,,2026-03-27,2026-07-25,2024-08-23
WM-096,Jaguar I-PACE Gen4,Phoenix,AZ,33.4122,-112.099,PHOENIX-2,ACTIVE,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,68513,3451,4.12,97.4,4,SOFTWARE_BUG,64,2026-04-07,2026-08-11,2024-02-29
WM-097,Jaguar I-PACE Gen3,Austin,TX,30.3118,-97.7709,AUSTIN-2,GROUNDED,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,75621,3786,3.94,97.6,1,GNSS_DROPOUT,20,2026-05-10,2026-08-15,2024-09-11
WM-098,Jaguar I-PACE Gen3,Los Angeles,CA,34.0813,-118.2799,LOS-3,ACTIVE,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,73799,1831,4.07,98.7,2,GNSS_DROPOUT,47,2026-05-16,2026-06-22,2025-02-26
